内容,作者,发布时间,转发数,评论数,点赞数,页码
"cheers🍾️

#crp的照片墙##人像摄影##中国传媒大学# ​",Cruopeng,2023年10月10日 21:36 ,2,9,0,27
开始上课啦#表演生##中国传媒大学##日常##大一新生# 2北京·中国传媒大学 ​,累炖ldoon,2023年10月09日 12:03 ,10,25,0,27
我们等庞加莱重现。#中国传媒大学# 2北京·中国传媒大学 ​,俺4萌子,2023年09月29日 04:44 ,1,7,0,28
"一觉醒来我怎么还在车上哈哈哈🥲晕车预警🆘
好好好，毕竟是160来辆大巴车，但是这个路况本来就很堵💔感觉北京好久没这么堵了，四个小时了😐已经迫不及待想回学校回家了🤩#中国传媒大学#李嘉欣Josie超话 🌟#李嘉欣Josie# 2北京·红领巾桥 ​",李嘉欣Josie,2023年09月28日 16:22 ,5,12,0,28
揭密乐言（传媒）艺术培训学校“语言能力课”测评，#家长#朋友们来看看孩子们#即兴语言表达#能力 强不强？！#中国传媒大学# 的#测评员# 美不美！？#中传花少# L唐刚DJ-VJ的微博视频 ​,唐刚DJ-VJ,2023年09月26日 21:43 ,1,1,0,28
"晚霞和夕阳🌇Romantic sunset
中传军训接近尾声，这两天开始进行文艺汇演节目、结训仪式方阵的彩排了，倒计时2天🕖，快要回CUC啦，快要回家啦，说实话有点不舍🥹……真的很喜欢军训的氛围♥️#中国传媒大学##中传#李嘉欣Josie超话 🌟#李嘉欣Josie# 2北京 ​",李嘉欣Josie,2023年09月26日 20:13 ,5,13,0,28
一转眼就大三了#中国传媒大学##开学# 2北京·中国传媒大学 ​,小邓爱说话,2023年09月26日 18:12 ,3,6,0,28
军训进程一半啦，明天早上5:30开始十公里拉练，我准备好噜！😆🏃‍♀️#中国传媒大学#李嘉欣Josie超话 🌟#李嘉欣Josie# 2北京 L李嘉欣Josie的微博视频 ​,李嘉欣Josie,2023年09月23日 23:28 ,5,21,0,28
中传军训｜重生之我是背包侠#中国传媒大学##军训#夜魔知晏超话 L夜魔知晏的微博视频 ​,夜魔知晏,2023年09月23日 18:23 ,8,43,0,28
"有幸参与北京市第二届冬季运动会花样滑冰比赛的解说工作，在工作中真是学到了不少，老师们的教导和帮助都让我受益匪浅，网友们的批评我也全盘接受，正在反思改进，争取下次说的更好
#花样滑冰##体育##中国传媒大学# ​",张门门Zorra,2023年09月19日 21:52 ,2,8,0,29
"正文在这里👉O2024中传考研11大变化！你的专业被取消了吗？
连夜梳理数据，具体变动赶快戳戳了解中国传媒大学考研超话中传考研超话#中传#CUC中传考研超话#24考研##中国传媒大学# ​",空了个格中传考研,2023年09月19日 13:14 ,1,2,0,29
"【8，9月plog】
🫅28年第一次来故宫
🧑‍🤝‍🧑有趣的朋友
🧩不关注 不期待
#中国传媒大学##闪闪发光的同学##开学季# ​",柯柯suguoi,2023年09月16日 10:36 ,15,16,0,29
